ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
8,8,663,,,
251,251,663,,,
725,725,663,,,
949,949,663,,,
1169,1169,663,,,
1401,1401,663,,,
1595,1595,663,,,
1853,1853,663,,,
2114,2114,663,,,
2336,2336,663,,,
2823,2823,663,,,
3076,3076,663,,,
3297,3297,663,,,
3591,3591,663,,,
3897,3897,663,,,
4201,4201,663,,,
4395,4395,663,,,
4592,4592,663,,,
4855,4855,663,,,
5101,5101,663,,,
5359,5359,663,,,
5614,5614,663,,,
5850,5850,663,,,
6152,6152,663,,,
6362,6362,663,,,
6623,6623,663,,,
6914,6914,663,,,
7179,7179,663,,,
7435,7435,663,,,
3,3,664,,,
720,720,1257,,,
1849,1849,1,,,
2332,2332,1,,,
3587,3587,292,,,
3889,3889,779,,,
3890,3890,292,,,
3891,3891,1,,,
4391,4391,1380,,,
4851,4851,932,,,
5097,5097,1380,,,
5609,5609,1034,,,
5846,5846,1,,,
6358,6358,1133,,,
6618,6618,1,,,
6619,6619,1,,,
11,11,2,,,
254,254,2,,,
728,728,2,,,
951,951,2,,,
1172,1172,1381,,,
1173,1173,2,,,
1404,1404,2,,,
1598,1598,2,,,
1856,1856,2,,,
2117,2117,2,,,
2339,2339,2,,,
2553,2553,1445,,,
2554,2554,2,,,
2826,2826,2,,,
3079,3079,2,,,
3300,3300,2,,,
3594,3594,2,,,
3900,3900,2,,,
4204,4204,2,,,
4398,4398,1381,,,
4595,4595,2,,,
4858,4858,2,,,
5104,5104,1381,,,
5361,5361,2,,,
5617,5617,2,,,
5853,5853,2,,,
6155,6155,2,,,
6365,6365,2,,,
6626,6626,2,,,
6917,6917,2,,,
7181,7181,2,,,
7438,7438,2,,,
12,12,3,,,
255,255,3,,,
729,729,3,,,
952,952,3,,,
1174,1174,3,,,
1405,1405,3,,,
1599,1599,3,,,
1857,1857,3,,,
2118,2118,3,,,
2340,2340,3,,,
2555,2555,3,,,
2827,2827,3,,,
3080,3080,3,,,
3301,3301,3,,,
3595,3595,3,,,
3901,3901,3,,,
