ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
8,vaeakautaumako,1705,valu,v a l u,,Hovdhaugen-375-2009
251,wallisian,1705,valu,v a l u,,POLLEX
725,maori,1705,waru,w a r u,,Biggs-85-2005
949,kapingamarangi,1705,walu,w a l u,,POLLEX
1169,tahitian,1705,va'u,v a ʔ u,,Clark-173-2005
1401,emae,1705,βaru,β a r u,,52375
1595,rapanui,1705,va'u,v a ʔ u,,POLLEX
1853,mangareva,1705,varu,v a r u,,POLLEX
2114,luangiua,1705,valu,v a l u,,POLLEX
2336,tongan,1705,valu,v a l u,,117207
2823,tikopia,1705,varu,v a r u,,POLLEX
3076,sikaiana,1705,valu,v a l u,,POLLEX
3297,northmarquesan,1705,va'u,v a ʔ u,,POLLEX
3591,eastfutunan,1705,valu,v a l u,,POLLEX
3897,pukapuka,1705,valu,v a l u,,Salisbury-152-2005
4201,melefila,1705,eβaru,β a r u,,52375
4395,raivavae,1705,vaGu,v a ɢ u,,Tamaititahio-1213-2015
4592,tuamotuan,1705,varu,v a r u,,POLLEX
4855,niuean,1705,valu,v a l u,,POLLEX
5101,rurutuan,1705,vaʔu,v a ʔ u,,Meyer-128-2005
5359,futunaaniwa,1705,varu,v a r u,,POLLEX
5614,hawaiian,1705,walu,w a l u,,71458
5850,rarotongan,1705,varu,v a r u,,POLLEX
6152,penryhn,1705,varu,v a r u,,POLLEX
6362,nukuria,1705,varu,v a r u,,Davletshin-1212-2015
6623,samoan,1705,valu,v a l u,,Blust-118-2005
6914,rennellbellona,1705,baŋgu,b a ŋg u,,POLLEX
7179,tuvalu,1705,valu,v a l u,,29903
7435,anuta,1705,varu,v a r u,,POLLEX
3,vaeakautaumako,1717,gatoaelima,g a t o a e l i m a,,Hovdhaugen-375-2009
720,maori,1717,rima tekau,r i m a t e k a u,,Biggs-85-2005
1849,mangareva,1717,rima rongo'uru,r i m a r o ŋ o ʔ u r u,,POLLEX
2332,tongan,1717,nimangofulu,n i m a ŋ o f u l u,,117207
3587,eastfutunan,1717,kaulima,k a u l i m a,,POLLEX
3889,pukapuka,1717,tinolima,t i n o l i m a,,Salisbury-152-2005
3890,pukapuka,1717,laulima,l a u l i m a,,Salisbury-152-2005
3891,pukapuka,1717,limangaulu,l i m a ŋ a u l u,,Salisbury-152-2005
