ID,Name,Macroarea,Latitude,Longitude,glottocode,iso,Genus,Family
abi,Abipón,,-29.0,-61.0,abip1241,axb,South Guaicuruan,Guaicuruan
abk,Abkhaz,,43.0833333333,41.0,abkh1244,abk,Northwest Caucasian,Northwest Caucasian
ach,Aché,,-25.25,-55.1666666667,ache1246,guq,Tupi-Guaraní,Tupian
acm,Achumawi,,41.5,-121.0,achu1247,acv,Palaihnihan,Hokan
aco,Acoma,,34.9166666667,-107.583333333,west2632,kjq,Keresan,Keresan
adz,Adzera,,-6.25,146.25,adze1240,adz,Oceanic,Austronesian
agh,Aghem,,6.66666666667,10.0,aghe1239,agq,Bantoid,Niger-Congo
aht,Ahtna,,62.0,-145.0,ahte1237,aht,Athapaskan,Na-Dene
aik,Aikaná,,-12.6666666667,-60.6666666667,aika1237,tba,Aikaná,Aikaná
ain,Ainu,,43.0,143.0,ainu1240,ain,Ainu,Ainu
aiz,Aizi,,5.25,-4.5,apro1235,ahp,Kru,Niger-Congo
akn,Akan,,6.5,-1.25,akan1250,aka,Kwa,Niger-Congo
akw,Akawaio,,6.0,-59.5,akaw1239,ake,Cariban,Cariban
abm,Alabama,,32.3333333333,-87.4166666667,alab1237,akz,Muskogean,Muskogean
ala,Alamblak,,-4.66666666667,143.333333333,alam1246,amp,Sepik Hill,Sepik
alw,Alawa,,-15.1666666667,134.25,alaw1244,alh,Alawa,Mangarrayi-Maran
alb,Albanian,,41.0,20.0,,,Albanian,Indo-European
aea,Aleut (Eastern),,54.75,-164.0,aleu1260,ale,Aleut,Eskimo-Aleut
ald,Alladian,,5.16666666667,-4.33333333333,alla1248,ald,Kwa,Niger-Congo
amc,Amahuaca,,-10.5,-72.5,amah1246,amc,Panoan,Panoan
ame,Amele,,-5.25,145.583333333,amel1241,aey,Madang,Trans-New Guinea
amh,Amharic,,10.0,38.0,amha1245,amh,Semitic,Afro-Asiatic
amo,Amo,,10.3333333333,8.66666666667,amoo1242,amo,Kainji,Niger-Congo
amz,Amuzgo,,16.8333333333,-98.0,guer1243,amu,Amuzgoan,Oto-Manguean
adk,Andoke,,-0.666666666667,-72.0,ando1256,ano,Andoke,Andoke
ant,Angaatiha,,-7.21666666667,146.25,anga1290,agm,Angan,Trans-New Guinea
anc,Angas,,9.5,9.5,ngas1240,anc,West Chadic,Afro-Asiatic
ani,//Ani,,-18.9166666667,21.9166666667,anii1246,hnh,Khoe-Kwadi,Khoe-Kwadi
ao,Ao,,26.5833333333,94.6666666667,aona1235,njo,Kuki-Chin,Sino-Tibetan
api,Apinayé,,-5.5,-48.0,apin1244,apn,Ge-Kaingang,Macro-Ge
apu,Apurinã,,-9.0,-67.0,apur1254,apu,Purus,Arawakan
arb,Arabela,,-2.0,-75.1666666667,arab1268,arl,Zaparoan,Zaparoan
aeg,Arabic (Egyptian),,30.0,31.0,egyp1253,arz,Semitic,Afro-Asiatic
ana,Araona,,-12.3333333333,-67.75,arao1248,aro,Tacanan,Tacanan
arp,Arapesh (Mountain),,-3.46666666667,143.166666667,buki1249,ape,Kombio-Arapesh,Torricelli
arc,Archi,,42.0,46.8333333333,arch1244,aqc,Lezgic,Nakh-Daghestanian
arm,Armenian (Eastern),,40.0,45.0,nucl1235,hye,Armenian,Indo-European
amp,Arrernte (Mparntwe),,-24.0,136.0,east2379,aer,Central Pama-Nyungan,Pama-Nyungan
asm,Asmat,,-5.5,138.5,tamn1235,tml,Asmat-Kamoro,Trans-New Guinea
ata,Atayal,,24.5,121.333333333,atay1247,tay,Atayalic,Austronesian
ava,Avar,,42.5,46.5,avar1256,ava,Avar-Andic-Tsezic,Nakh-Daghestanian
awp,Awa Pit,,1.5,-78.25,awac1239,kwi,Barbacoan,Barbacoan
awn,Awngi,,10.8333333333,36.6666666667,awng1244,awn,Central Cushitic,Afro-Asiatic
aym,Aymara (Central),,-17.0,-69.0,cent2142,ayc,Aymaran,Aymaran
aze,Azerbaijani,,40.5,48.5,,,Turkic,Altaic
bag,Bagirmi,,11.6666666667,16.0,bagi1246,bmi,Bongo-Bagirmi,Central Sudanic
bai,Bai,,26.0,100.0,cent2004,bca,Bai,Sino-Tibetan
bng,Baining,,-4.58333333333,152.0,qaqe1238,byx,Baining,Baining-Taulil
baj,Bajau (Sama),,-4.33333333333,123.0,indo1317,bdl,Sama-Bajaw,Austronesian
bki,Bakairí,,-14.0,-55.0,baka1277,bkq,Cariban,Cariban
bam,Bambara,,12.5,-7.5,bamb1269,bam,Western Mande,Mande
byu,Bandjalang (Yugumbir),,-27.9166666667,153.0,band1339,bdy,Southeastern Pama-Nyungan,Pama-Nyungan
brd,Bardi,,-16.5833333333,122.916666667,bard1255,bcj,Nyulnyulan,Nyulnyulan
brb,Bariba,,10.0,2.5,baat1238,bba,Gur,Niger-Congo
bsk,Bashkir,,53.0,58.0,bash1264,bak,Turkic,Altaic
bsq,Basque,,43.0,-3.0,basq1248,eus,Basque,Basque
bkr,Batak (Karo),,3.25,98.25,bata1293,btx,Northwest Sumatra-Barrier Islands,Austronesian
bto,Batak (Toba),,2.5,99.0,bata1289,bbc,Northwest Sumatra-Barrier Islands,Austronesian
baw,Bawm,,22.5,92.25,bawm1236,bgr,Kuki-Chin,Sino-Tibetan
bee,Beembe,,-3.91666666667,14.0833333333,beem1239,beq,Bantoid,Niger-Congo
bej,Beja,,18.0,36.0,beja1238,bej,Beja,Afro-Asiatic
bco,Bella Coola,,52.5,-126.666666667,bell1243,blc,Bella Coola,Salishan
ben,Bengali,,24.0,90.0,beng1280,ben,Indic,Indo-European
bma,Berber (Middle Atlas),,33.0,-5.0,cent2194,tzm,Berber,Afro-Asiatic
ber,Berta,,10.3333333333,34.6666666667,bert1248,wti,Berta,Berta
bet,Bété,,6.25,-6.25,dalo1238,bev,Kru,Niger-Congo
bir,Birom,,9.66666666667,8.83333333333,bero1242,bom,Platoid,Niger-Congo
bis,Bisa,,11.5,-0.5,biss1248,bib,Eastern Mande,Mande
bbf,Bobo Madaré (Northern),,12.4166666667,-4.33333333333,,bbo,Western Mande,Mande
bod,Bodo,,26.8333333333,92.0,bodo1269,brx,Bodo-Garo,Sino-Tibetan
brr,Bororo,,-16.0,-57.0,boro1282,bor,Bororoan,Bororoan
brh,Brahui,,28.5,67.0,brah1256,brh,Northern Dravidian,Dravidian
bra,Brao,,14.1666666667,107.5,lave1249,brb,Bahnaric,Austro-Asiatic
bre,Breton,,48.0,-3.0,bret1244,bre,Celtic,Indo-European
bri,Bribri,,9.41666666667,-83.0,brib1243,bzd,Talamanca,Chibchan
brw,Bru (Western),,16.75,104.75,west2397,brv,Katuic,Austro-Asiatic
bul,Bulgarian,,42.5,25.0,bulg1262,bul,Slavic,Indo-European
bua,Burarra,,-12.25,134.583333333,bura1267,bvr,Burarran,Mangrida
