ID,Language_ID,Parameter_ID,Value,Comment,Source
1A-abi,abi,1A,2,Moderately small,Najlis-1966
1A-abk,abk,1A,5,Large,Hewitt-1979
1A-ach,ach,1A,1,Small,Susnik-1974
1A-acm,acm,1A,2,Moderately small,Olmsted-1966;Olmsted-1964
1A-aco,aco,1A,5,Large,Miller-1966
1A-adz,adz,1A,2,Moderately small,Holzknecht-1973
1A-agh,agh,1A,3,Average,Hyman-1979
1A-aht,aht,1A,4,Moderately large,Kari-1990
1A-aik,aik,1A,3,Average,Hanke-1956;Aikhenvald-and-Dixon-1999[362-363]
1A-ain,ain,1A,1,Small,Patrie-1982;Simeon-1969
1A-aiz,aiz,1A,3,Average,Herault-1971
1A-akn,akn,1A,3,Average,Ladefoged-1964;Dolphyne-1988;Stewart-1967;Schachter-and-Fromkin-1968;Welmers-1946
1A-akw,akw,1A,1,Small,Edwards-1978
1A-abm,abm,1A,1,Small,Rand-1968
1A-ala,ala,1A,2,Moderately small,Bruce-1984
1A-alw,alw,1A,3,Average,Sharpe-1972
1A-alb,alb,1A,3,Average,Newmark-1957
1A-aea,aea,1A,3,Average,Bergsland-1956;Jacobson-1944;Rozelle-1997;Bergsland-1959;Bergsland-1994;Cho-et-al-1997;Menovshchikov-1968
1A-ald,ald,1A,3,Average,Dumestre-and-Duponchel-1971;Duponchel-1971
1A-amc,amc,1A,1,Small,Osborn-1948
1A-ame,ame,1A,2,Moderately small,Roberts-1987
1A-amh,amh,1A,4,Moderately large,Hayward-and-Hayward-1999
1A-amo,amo,1A,3,Average,Anderson-1980;Di-Luzio-1972
1A-amz,amz,1A,3,Average,Bauernschmidt-1965;Longacre-1966
1A-adk,adk,1A,1,Small,Landaburu-1979
1A-ant,ant,1A,1,Small,Huisman-1973;Huisman-et-al-1981;Huisman-and-Lloyd-1981
1A-anc,anc,1A,4,Moderately large,Burquest-1971
1A-ani,ani,1A,5,Large,Vossen-1997;Vossen-1986
1A-ao,ao,1A,1,Small,Gowda-1975;Gowda-1972
1A-api,api,1A,1,Small,Burgess-and-Ham-1968
1A-apu,apu,1A,1,Small,Facundes-2000
1A-arb,arb,1A,1,Small,Rich-1963
1A-aeg,aeg,1A,4,Moderately large,Kennedy-1960;Tomiche-1964;Mitchell-1962
1A-ana,ana,1A,3,Average,de-Pitman-1981
1A-arp,arp,1A,2,Moderately small,Conrad-and-Wogiga-1991
1A-arc,arc,1A,5,Large,Kodzasov-1977
1A-arm,arm,1A,4,Moderately large,Allen-1950
1A-amp,amp,1A,5,Large,Henderson-1994
1A-asm,asm,1A,1,Small,Voorhoeve-1965
1A-ata,ata,1A,3,Average,Egerod-1966b
1A-ava,ava,1A,5,Large,Zhirkov-1936;Charachidze-1981
1A-awp,awp,1A,1,Small,Curnow-1997
1A-awn,awn,1A,4,Moderately large,Hetzron-1969;Hetzron-1976
1A-aym,aym,1A,4,Moderately large,Martin-1969
1A-aze,aze,1A,3,Average,Householder-and-Lofti-1965
1A-bag,bag,1A,4,Moderately large,Stevenson-1969
1A-bai,bai,1A,2,Moderately small,Dell-1981
1A-bng,bng,1A,1,Small,Parker-and-Parker-1974
1A-baj,baj,1A,4,Moderately large,Verheijen-1986
1A-bki,bki,1A,2,Moderately small,Wheatley-1969;Wheatley-1973
1A-bam,bam,1A,3,Average,Bird-et-al-1977
1A-byu,byu,1A,1,Small,Cunningham-1969
1A-brd,brd,1A,2,Moderately small,Metcalfe-1971
1A-brb,brb,1A,2,Moderately small,Welmers-1952a
1A-bsk,bsk,1A,4,Moderately large,Poppe-1964
1A-bsq,bsq,1A,3,Average,Saltarelli-et-al-1988
1A-bkr,bkr,1A,2,Moderately small,Woollams-1996
1A-bto,bto,1A,2,Moderately small,van-der-Tuuk-1971
1A-baw,baw,1A,3,Average,Reichle-1981
1A-bee,bee,1A,2,Moderately small,Jacquot-1981;Jacquot-1962
1A-bej,bej,1A,3,Average,Hudson-1974;Hudson-1976b
1A-bco,bco,1A,4,Moderately large,Nater-1984;Newman-1947
1A-ben,ben,1A,4,Moderately large,Klaiman-1990;Ferguson-and-Chowdhury-1960
1A-bma,bma,1A,4,Moderately large,Abdel-Massih-1971;Penchoen-1973b
1A-ber,ber,1A,3,Average,Triulzi-et-al-1976a
1A-bet,bet,1A,3,Average,Werle-and-Gbalehi-1976
1A-bir,bir,1A,3,Average,Bouquiaux-1970;Wolff-1959
1A-bis,bis,1A,2,Moderately small,Naden-1973
1A-bbf,bbf,1A,3,Average,Bris-and-Prost-1981;Morse-1976
1A-bod,bod,1A,2,Moderately small,Bhat-1968
1A-brr,brr,1A,1,Small,Crowell-1979
1A-brh,brh,1A,3,Average,Emeneau-1962;Emeneau-1937;De-Armond-1975
1A-bra,bra,1A,3,Average,Keller-1976
1A-bre,bre,1A,3,Average,Bothorel-1982;Ternes-1970
1A-bri,bri,1A,2,Moderately small,Arroyo-1972
1A-brw,brw,1A,3,Average,Thongkum-1979
1A-bul,bul,1A,3,Average,Ternes-and-Vladimirova-Buhtz-1999;Klagstad-1958;Scatton-1984;Aronson-1968;Bidwell-1968
1A-bua,bua,1A,2,Moderately small,Glasgow-and-Glasgow-1967
1A-brm,brm,1A,4,Moderately large,Watkins-2001;Okell-1969
1A-bur,bur,1A,5,Large,Anderson-1997b;Morgenstierne-1945
1A-cac,cac,1A,1,Small,Anderton-1989;Cathcart-1979
1A-cad,cad,1A,3,Average,Chafe-1976;Chafe-1979
1A-cah,cah,1A,3,Average,Bright-1965b;Sauvel-and-Munro-1981;Seiler-1977
1A-cax,cax,1A,2,Moderately small,Payne-1981;Dirks-1953
1A-cam,cam,1A,3,Average,Howard-1967;Howard-1972;Mongui-Sanchez-1981
1A-ckr,ckr,1A,1,Small,Popjes-and-Popjes-1986
1A-cnt,cnt,1A,3,Average,Zee-1999
1A-car,car,1A,2,Moderately small,Hoff-1968;Peasgood-1972
1A-ctl,ctl,1A,3,Average,Carbonell-and-Llisteri-1999
1A-cay,cay,1A,3,Average,Lindskoog-and-Brend-1962
1A-cyv,cyv,1A,2,Moderately small,Key-1961;Key-1967
1A-cha,cha,1A,3,Average,Topping-1973;Seiden-1960
1A-chw,chw,1A,3,Average,Edmondson-and-Gregerson-1993;Blood-1967
1A-cso,cso,1A,2,Moderately small,Pride-1965
1A-chl,chl,1A,4,Moderately large,Kinkade-1963
1A-che,che,1A,1,Small,Walker-1975b;Bender-and-Harris-1946;Cook-1979
1A-cck,cck,1A,2,Moderately small,Gordon-et-al-2000;Munro-et-al-2002
1A-cle,cle,1A,3,Average,Rupp-1989;Rupp-1990
1A-chq,chq,1A,4,Moderately large,Robbins-1968;Robbins-1961
1A-cti,cti,1A,3,Average,Henderson-1965
1A-chp,chp,1A,5,Large,Li-1933;Li-1946;Li-1932
1A-cve,cve,1A,1,Small,Thurman-1970
1A-chk,chk,1A,2,Moderately small,Krause-1980;Skorik-1968;Skorik-1961
1A-chu,chu,1A,3,Average,Stell-1972
1A-chv,chv,1A,3,Average,Krueger-1961;Andreev-1966
1A-cil,cil,1A,3,Average,de-Schryver-1999
1A-ccp,ccp,1A,3,Average,Crawford-1966[13]
1A-cof,cof,1A,4,Moderately large,Borman-1962
1A-cmn,cmn,1A,1,Small,Charney-1993;Wistrand-Robinson-and-Armagost-1990
1A-coo,coo,1A,5,Large,Zenk-1990
1A-cre,cre,1A,1,Small,Dahlstrom-1991;Vinay-1992
1A-cub,cub,1A,1,Small,Morse-and-Maxwell-1999b;Salser-1971
1A-dad,dad,1A,1,Small,MacDonald-1973
1A-dag,dag,1A,1,Small,Murane-1974
1A-dgb,dgb,1A,3,Average,Olawsky-1999;Wilson-and-Bendor-Samuel-1969
1A-dgr,dgr,1A,3,Average,Bao-1982
1A-dah,dah,1A,5,Large,Tucker-et-al-1977;Nurse-1986;Maddieson-et-al-1993
1A-ddf,ddf,1A,3,Average,Thelwall-1981;Tucker-and-Bryan-1966
1A-dan,dan,1A,3,Average,Bearth-and-Zemp-1967
1A-dnw,dnw,1A,3,Average,Fedry-1977
1A-dni,dni,1A,1,Small,van-der-Stap-1966;Bromley-1961
1A-dar,dar,1A,4,Moderately large,Kotapish-and-Kotapish-1975;Kotapish-and-Kotapish-1973
1A-det,det,1A,5,Large,Vossen-1997
1A-die,die,1A,3,Average,Langdon-1970
1A-din,din,1A,3,Average,Malou-1988;Andersen-1987
1A-dio,dio,1A,3,Average,Sapir-1965
1A-diy,diy,1A,3,Average,Austin-1981
1A-diz,diz,1A,3,Average,Allan-1976b
1A-djp,djp,1A,3,Average,Rose-et-al-1982;Morphy-1983
1A-der,der,1A,1,Small,Voorhoeve-1971
1A-doy,doy,1A,3,Average,Wiering-1974
1A-dre,dre,1A,4,Moderately large,Moyse-Faurie-1983
1A-dum,dum,1A,1,Small,Ross-1980
1A-dyi,dyi,1A,1,Small,Dixon-1972
1A-efi,efi,1A,1,Small,Cook-1969a
1A-eja,eja,1A,3,Average,Watters-1981
1A-eka,eka,1A,1,Small,Steltenpool-1969;Doble-1987
1A-eng,eng,1A,3,Average,Gimson-1970
1A-epe,epe,1A,2,Moderately small,Harms-1985;Harms-1994;Harms-1984
1A-evn,evn,1A,2,Moderately small,Novikova-1966;Novikova-1960
1A-eve,eve,1A,2,Moderately small,Nedjalkov-1997;Bulatova-and-Grenoble-1999
1A-ewe,ewe,1A,4,Moderately large,Pasch-1995
1A-ewo,ewo,1A,4,Moderately large,Nnomo-and-Mbezele-1982;Redden-1979;Abega-1970
1A-eya,eya,1A,4,Moderately large,Krauss-1965
1A-fas,fas,1A,1,Small,Loeweke-and-May-1964
1A-fef,fef,1A,2,Moderately small,Hyman-1972
1A-fij,fij,1A,3,Average,Dixon-1988
1A-fin,fin,1A,2,Moderately small,Wiik-1965;Harms-1964;Lehtinen-1970
1A-fre,fre,1A,3,Average,Fougeron-and-Smith-1999;Sten-1963
1A-ful,ful,1A,3,Average,Lapenda-1968
1A-fur,fur,1A,2,Moderately small,Tucker-and-Bryan-1966;Beaton-1968;Jakobi-1990
1A-fuz,fuz,1A,1,Small,Chen-and-Norman-1965;Hanyu-1960;Chan-1985;Norman-1988
1A-fye,fye,1A,5,Large,Nettle-1998
1A-ga,ga,1A,4,Moderately large,Berry-nd;Kropp-1987
1A-gds,gds,1A,1,Small,Frantz-and-Frantz-1966
1A-gar,gar,1A,2,Moderately small,Burling-1961
1A-grr,grr,1A,3,Average,Furby-1974
1A-gbb,gbb,1A,4,Moderately large,Samarin-1966;Monino-and-Roulon-1972
1A-gla,gla,1A,4,Moderately large,He-1983;He-1981
1A-geo,geo,1A,4,Moderately large,Hewitt-1995;Neisser-1953;Tschenkeli-1958;Vogt-1938;Robins-and-Waterson-1952;Vogt-1958;Selmer-1935;Vogt-1971
1A-ger,ger,1A,3,Average,Kohler-1999;Moulton-1962;Wangler-1972
1A-goa,goa,1A,1,Small,Mansen-1967;Holmer-1949d
1A-goo,goo,1A,3,Average,McGregor-1990
1A-gan,gan,1A,3,Average,Yadav-nd
1A-grb,grb,1A,3,Average,Innes-1966
1A-grk,grk,1A,3,Average,Householder-et-al-1964
1A-grw,grw,1A,3,Average,Rischel-1974
1A-ghb,ghb,1A,2,Moderately small,Kondo-and-Kondo-1967
1A-gmb,gmb,1A,2,Moderately small,Caudmont-1954;Branks-and-Branks-1973
1A-gua,gua,1A,2,Moderately small,Lunt-1973;Uldall-1956;Gregores-and-Suarez-1967
1A-gwa,gwa,1A,3,Average,Hyman-and-Magaji-1970
1A-had,had,1A,5,Large,Sands-et-al-1996;Tucker-et-al-1977
1A-hai,hai,1A,5,Large,Sapir-1923
1A-hak,hak,1A,2,Moderately small,Hashimoto-1973
1A-hmr,hmr,1A,3,Average,Lydall-1976
1A-ham,ham,1A,1,Small,Healey-1981;Oates-and-Oates-1968
1A-hau,hau,1A,4,Moderately large,Newman-2000;Schuh-and-Bagari-1999
1A-haw,haw,1A,1,Small,Pukui-and-Elbert-1965;Schutz-1981;Elbert-and-Pukui-1979
1A-hba,hba,1A,2,Moderately small,Bolozky-1978;Bolozky-1997
1A-hin,hin,1A,5,Large,Ohala-1999;Kelkar-1968;Ohala-1983
1A-hix,hix,1A,2,Moderately small,Derbyshire-1985
1A-hmo,hmo,1A,5,Large,Wang-1983;Smalley-1976;Harriehausen-1990;Purnell-1972;Wang-1985;Lyman-1974
1A-hop,hop,1A,3,Average,Voegelin-1956;Kluckhohn-and-MacLeish-1955;Whorf-1946a
1A-htc,htc,1A,3,Average,Peralta-1984;McQuown-1984;Larsen-and-Pike-1949
1A-hve,hve,1A,3,Average,Suarez-1975;Stairs-Kreger-and-Scharfe-de-Stairs-1981
1A-hum,hum,1A,2,Moderately small,Minor-et-al-1982;Petersen-de-Pineros-1994;Burtch-1983;Aschmann-1993
1A-hun,hun,1A,4,Moderately large,Banhidi-et-al-1965;Hall-1944;Szende-1999
1A-hzb,hzb,1A,5,Large,van-den-Berg-1995
1A-hup,hup,1A,4,Moderately large,Golla-1970;Gordon-1996;Woodward-1964
1A-iaa,iaa,1A,5,Large,Maddieson-and-Anderson-1995;Haudricourt-1971;Ozanne-Rivierre-1976
1A-iba,iba,1A,3,Average,Omar-1981;Scott-1957
1A-igb,igb,1A,4,Moderately large,Ikekeonwu-1999
1A-ign,ign,1A,3,Average,Ott-and-Ott-1967a
1A-ijo,ijo,1A,3,Average,Williamson-1965
1A-ik,ik,1A,4,Moderately large,Heine-1975b;Tucker-1971
1A-ika,ika,1A,2,Moderately small,Frank-1990;Tracy-and-Tracy-1973
1A-imo,imo,1A,1,Small,Seiler-1985
1A-ind,ind,1A,3,Average,Alwi-et-al-1998
1A-igs,igs,1A,3,Average,Crewe-1975;Tucker-and-Bryan-1966
1A-ing,ing,1A,5,Large,Nichols-1994b
1A-irx,irx,1A,3,Average,Meader-1967
1A-irq,irq,1A,4,Moderately large,Maghway-1995;Whiteley-1958;Nordbustad-1988;Mous-1993
1A-irr,irr,1A,1,Small,Voorhoeve-1989
1A-ird,ird,1A,5,Large,O-Dochartaigh-1992;Ni-Chasaide-1999
1A-iso,iso,1A,4,Moderately large,Donwa-1982
1A-ite,ite,1A,4,Moderately large,Volodin-1976
1A-ito,ito,1A,3,Average,Liccardi-and-Grimes-1968
1A-ivs,ivs,1A,3,Average,Hidalgo-and-Hidalgo-1971;Cottle-and-Cottle-1958;Heye-and-Hidalgo-1967
1A-iwm,iwm,1A,1,Small,Laycock-1965b
1A-jak,jak,1A,4,Moderately large,Day-1973;Craig-1977
1A-jpn,jpn,1A,2,Moderately small,Jorden-1963;Shibatani-1990;Martin-1952;Bloch-1950
1A-jpr,jpr,1A,1,Small,Durbin-and-Seijas-1972
1A-jaq,jaq,1A,5,Large,Hardman-2000
