ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
1,Swahili,,,,swah1253,swh
386,Zaramo,,,,zara1247,zaj
387,Zigua,,,,zigu1242,ziw
135,German,,,,stan1295,deu
13,English,,,,stan1293,eng
274,Portuguese,,,,port1283,por
276,Pre-Malagasy,,,,,
21,Japanese,,,,nucl1643,jpn
154,Hindi-Urdu,,,,,
28,Malagasy,,,,plat1254,plt
163,Arabic (Indian Ocean),,,,,
169,Italian,,,,ital1282,ita
53,Arabic,,,,stan1318,arb
312,Sambaa,,,,sham1280,ksb
328,South Cushitic,,,,,
202,Malay,,,,stan1306,zsm
78,Cantonese,,,,yuec1235,yue
269,Persian,,,,west2369,pes
89,Chinese,,,,mand1415,cmn
96,Latin,,,,,
356,Turkish,,,,nucl1301,tur
232,Neo-Latin,,,,,
112,East Turkic,,,,,
244,Nyamwezi,,,,nyam1276,nym
123,French,,,,stan1290,fra
