ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Prosodic_structure	Motivation_structure	Source	Comment
6187	Rangoon	nucl1310	I [first person singular]	1209	ŋɑ²²	ŋɑ²²	ŋ ɑ ²²	i n t	me	TBL	
6259	Atsi	zaiw1240	I [first person singular]	1209	ŋo⁵¹	ŋo⁵¹	ŋ o ⁵¹	i n t	I-me	TBL	
6348	Maru	maru1248	I [first person singular]	1209	ŋɔ³¹	ŋɔ³¹	ŋ ɔ ³¹	i n t	me	TBL	
6432	Lashi	lash1242	I [first person singular]	1209	ŋo³¹	ŋo³¹	ŋ o ³¹	i n t	me	TBL	
6489	Xiandao	xian1248	I [first person singular]	1209	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t	I-me	TBL	
6549	Bola	bela1241	I [first person singular]	1209	ŋa⁵⁵	ŋa⁵⁵	ŋ a ⁵⁵	i n t	I-me	TBL	
6631	Achang_Longchuan	long1372	I [first person singular]	1209	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t	I-me	TBL	
7149	Old_Burmese	oldb1234	I [first person singular]	1209	ṅā	ṅā	ŋ a ²²	i n t			
6324	Atsi	zaiw1240	above	1741	tʰoʔ⁵⁵mai²¹	tʰoʔ⁵⁵mai²¹	tʰ o ʔ ⁵⁵ + m a i ²¹	i n c t + i n N t	over on	TBL	
6414	Rangoon	nucl1310	above	1741	ɑ⁵³tʰɛʔ	ɑ⁵³tʰɛʔ	ɑ ⁵³ + tʰ ɛ ʔ	n t + i n c	a-prefix above	TBL	
6450	Bola	bela1241	above	1741	a³¹tʰaʔ⁵⁵	a³¹tʰaʔ⁵⁵	a ³¹ + tʰ a ʔ ⁵⁵	n t + i n c t	a-prefix over	TBL	
6523	Achang_Longchuan	long1372	above	1741	a³¹lum³¹	a³¹lum³¹	a ³¹ + l u m ³¹	n t + i n c t	a-prefix round	TBL	
6583	Maru	maru1248	above	1741	tʰɔʔ⁵⁵mɛ³¹	tʰɔʔ⁵⁵mɛ³¹	tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹	i n c t + i n t	above on	TBL	
7095	Old_Burmese	oldb1234	above	1741	a◦thak	a◦thak	a + tʰ a k	n + i n c	a-prefix above		
2	Achang_Longchuan	long1372	all	98	pʐa⁵⁵pʐa⁵⁵	pʐa⁵⁵pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	i m n t + i m n t	all all	TBL	bad concept
9	Lashi	lash1242	all	98	pan³¹ʃɔ̱ʔ⁵⁵	pan³¹ʃɔ̱ʔ⁵⁵	p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵	i n c t + i n c t	all1 all2	TBL	bad concept
10	Maru	maru1248	all	98	pəŋ³¹ʃɔʔ⁵⁵	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	i n c t + i n c t	? ?	TBL	bad concept
12	Xiandao	xian1248	all	98	chot⁵⁵	chot⁵⁵	cʰ o t ⁵⁵	i n c t	all	TBL	bad concept
13	Atsi	zaiw1240	all	98	lu̱ŋ⁵⁵la̱ŋ⁵⁵	lu̱ŋ⁵⁵la̱ŋ⁵⁵	l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵	i n c t + i n c t	all-1 all-2	TBL	bad concept
14	Bola	bela1241	all	98	a³¹la̱p⁵⁵	a³¹la̱p⁵⁵	a ³¹ + l a̰ p ⁵⁵	n t + i n c t	a-prefix all	TBL	bad concept
5656	Rangoon	nucl1310	all	98	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	i n c t + i n t + i m n t	all1 all2 all3	TBL	bad concept
7097	Old_Burmese	oldb1234	all	98	a◦kun	a◦kun	a + k u n	n + i n c	a-prefix all		
129	Achang_Longchuan	long1372	bad	1292	tɕa⁵⁵	tɕa⁵⁵	tɕ a ⁵⁵	i n t	bad	TBL	
131	Atsi	zaiw1240	bad	1292	then²¹	then²¹	tʰ e n ²¹	i n c t	bad	TBL	
132	Bola	bela1241	bad	1292	a³¹kai⁵⁵	a³¹kai⁵⁵	a ³¹ + k a i ⁵⁵	n t + i n N t	not good	TBL	
135	Lashi	lash1242	bad	1292	pjɔːʔ³¹	pjɔːʔ³¹	p j ɔː ʔ ³¹	i m n c t	bad	TBL	
136	Maru	maru1248	bad	1292	kɔi³⁵	kɔi³⁵	k ɔ i ³⁵	i n N t	bad	TBL	
137	Xiandao	xian1248	bad	1292	n³¹cɛ⁵⁵	n³¹cɛ⁵⁵	n ³¹ + c ɛ ⁵⁵	n t + i n t	not good	TBL	
5367	Rangoon	nucl1310	bad	1292	sho⁵⁵	sho⁵⁵	sʰ o ⁵⁵	i n t	bad1	TBL	
5368	Rangoon	nucl1310	bad	1292	ȵɑ̃⁵³	ȵɑ̃⁵³	nʲ ɑ̃ ∼ ⁵³	i n c t	bad2	TBL	
7099	Old_Burmese	oldb1234	bad	1292	chuivḥ	chuivḥ	tsʰ ə w ⁵⁵	i n c t	bad		
6326	Atsi	zaiw1240	below, under	1485	o̱⁵¹mai²¹	o̱⁵¹mai²¹	o̰ ⁵¹ + m a i ²¹	n t + i n N t	under on	TBL	
6451	Bola	bela1241	below, under	1485	a³¹a⁵⁵	a³¹a⁵⁵	a ³¹ + a ⁵⁵	n t + n t	a-prefix under	TBL	
6524	Achang_Longchuan	long1372	below, under	1485	a³¹tʰe⁵¹	a³¹tʰe⁵¹	a ³¹ + tʰ e ⁵¹	n t + i n t	a-prefix below	TBL	
6584	Maru	maru1248	below, under	1485	ɔ³¹mɛ³¹	ɔ³¹mɛ³¹	ɔ ³¹ + m ɛ ³¹	n t + i n t	below on	TBL	
6618	Rangoon	nucl1310	below, under	1485	ɑuʔ⁴	ɑuʔ⁴	ɑ u ʔ ⁴	m n c t	under	TBL	
7101	Old_Burmese	oldb1234	below, under	1485	o₂k	o₂k	ʊ k	n c			
310	Achang_Longchuan	long1372	big	1202	kʐə³¹	kʐə³¹	k ʐ ə ³¹	i m n t	big	TBL	
312	Atsi	zaiw1240	big	1202	ko̱²¹	ko̱²¹	k o̰ ²¹	i n t	big	TBL	
313	Bola	bela1241	big	1202	kɔ̱³⁵	kɔ̱³⁵	k ɔ̰ ³⁵	i n t	big	TBL	
316	Lashi	lash1242	big	1202	kjiː³³	kjiː³³	k j iː ³³	i m n t	big	TBL	
317	Maru	maru1248	big	1202	ɣə³⁵	ɣə³⁵	ɣ ə ³⁵	i n t	big	TBL	
319	Xiandao	xian1248	big	1202	kɯ³¹	kɯ³¹	k ɯ ³¹	i n t	big	TBL	
5671	Rangoon	nucl1310	big	1202	ʨi⁵⁵	ʨi⁵⁵	tɕ i ⁵⁵	i n t	big	TBL	
7103	Old_Burmese	oldb1234	big	1202	krīḥ	krīḥ	k r i ⁵⁵	i m n t			
367	Achang_Longchuan	long1372	black	163	lɔk⁵⁵	lɔk⁵⁵	l ɔ k ⁵⁵	i n c t	black	TBL	
369	Atsi	zaiw1240	black	163	noʔ²¹	noʔ²¹	n o ʔ ²¹	i n c t	black	TBL	
370	Bola	bela1241	black	163	naʔ³¹	naʔ³¹	n a ʔ ³¹	i n c t	black	TBL	
373	Lashi	lash1242	black	163	nɔːʔ³¹	nɔːʔ³¹	n ɔː ʔ ³¹	i n c t	black	TBL	
374	Maru	maru1248	black	163	nɔʔ³¹	nɔʔ³¹	n ɔ ʔ ³¹	i n c t	black	TBL	
375	Xiandao	xian1248	black	163	nɔʔ⁵⁵	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	i n c t	black	TBL	
5528	Rangoon	nucl1310	black	163	nɛʔ⁴	nɛʔ⁴	n ɛ ʔ ⁴	i n c t	black	TBL	
7105	Old_Burmese	oldb1234	black	163	nak	nak	n a k	i n c	black		
672	Achang_Longchuan	long1372	cold (of temperature)	1287	kʐuat⁵⁵	kʐuat⁵⁵	k ʐ u a t ⁵⁵	i m n N c t	cold	TBL	bad concept
674	Atsi	zaiw1240	cold (of temperature)	1287	kjoʔ²¹	kjoʔ²¹	k j o ʔ ²¹	i m n c t	cold	TBL	bad concept
675	Bola	bela1241	cold (of temperature)	1287	kjaʔ³¹	kjaʔ³¹	k j a ʔ ³¹	i m n c t	cold	TBL	bad concept
676	Lashi	lash1242	cold (of temperature)	1287	ŋaːm⁵⁵	ŋaːm⁵⁵	ŋ aː m ⁵⁵	i n c t	cold	TBL	bad concept
677	Maru	maru1248	cold (of temperature)	1287	kjɔʔ³¹	kjɔʔ³¹	k j ɔ ʔ ³¹	i m n c t	cold	TBL	bad concept
678	Xiandao	xian1248	cold (of temperature)	1287	kʐot⁵⁵	kʐot⁵⁵	k ʐ o t ⁵⁵	i m n c t	cold	TBL	bad concept
5630	Rangoon	nucl1310	cold (of temperature)	1287	ʨʰɑ̃⁵⁵	ʨʰɑ̃⁵⁵	tɕʰ ɑ̃ ∼ ⁵⁵	i n c t	cold1	TBL	bad concept
5650	Rangoon	nucl1310	cold (of temperature)	1287	e⁵⁵	e⁵⁵	e ⁵⁵	n t	cold2	TBL	bad concept
7107	Old_Burmese	oldb1234	cold (of temperature)	1287	iyḥ	iyḥ	i j ⁵⁵	n c t			
5251	Rangoon	nucl1310	correct (right)	1725	m̥ɑ̃²²	m̥ɑ̃²²	m̥ ɑ̃ ∼ ²²	i n c t	correct	TBL	
7109	Old_Burmese	oldb1234	correct (right)	1725	mhan	mhan	m̥ a n	i n c			
3334	Achang_Longchuan	long1372	correct (right)	1725	tsɿ⁵⁵	tsɿ⁵⁵	ts ɿ ⁵⁵	i n t	correct	TBL	
3339	Bola	bela1241	correct (right)	1725	tʃɔ³¹	tʃɔ³¹	tʃ ɔ ³¹	i n t	correct	TBL	
3342	Lashi	lash1242	correct (right)	1725	kɛː³¹	kɛː³¹	k ɛː ³¹	i n t	correct	TBL	
3343	Maru	maru1248	correct (right)	1725	tʃɔ³¹	tʃɔ³¹	tʃ ɔ ³¹	i n t	correct	TBL	
3344	Xiandao	xian1248	correct (right)	1725	cɛ⁵⁵	cɛ⁵⁵	c ɛ ⁵⁵	i n t	good	TBL	
3337	Atsi	zaiw1240	correct (right)	1725	tʃo²¹	tʃo²¹	tʃ o ²¹	i n t	correct	TBL	
6142	Achang_Longchuan	long1372	dark	706	ɕin⁵⁵	ɕin⁵⁵	ɕ i n ⁵⁵	i n c t	dark	TBL	
6201	Maru	maru1248	dark	706	nɔʔ³¹	nɔʔ³¹	n ɔ ʔ ³¹	i n c t	black	TBL	
6237	Rangoon	nucl1310	dark	706	m̥ɑ̃u²²	m̥ɑ̃u²²	m̥ ɑ̃ u ∼ ²²	i n N c t	dark	TBL	
6304	Atsi	zaiw1240	dark	706	noʔ²¹	noʔ²¹	n o ʔ ²¹	i n c t	black	TBL	
6430	Bola	bela1241	dark	706	naʔ³¹	naʔ³¹	n a ʔ ³¹	i n c t	black	TBL	
6593	Xiandao	xian1248	dark	706	kɯn⁵⁵	kɯn⁵⁵	k ɯ n ⁵⁵	i n c t	dark	TBL	
7111	Old_Burmese	oldb1234	dark	706	mho₂ṅ	mho₂ṅ	m̥ ʊ ŋ	i n c			
5459	Rangoon	nucl1310	dirty	1230	ȵiʔ⁴pɑʔ⁴	ȵiʔ⁴pɑʔ⁴	nʲ i ʔ ⁴ + p ɑ ʔ ⁴	i n c t + i n c t	dirty1 dirty2	TBL	
