ID,Language_ID,Form,Alignment,Comment,Alignments,Morphemes,Segments,Cognate_Set,Language,Source,Parameter_ID,Value,Concept,Cognate_Sets,Prosodic_Structure
6187,nucl1310,ŋɑ²²,ŋ ɑ ²²,,ŋ ɑ ²²,me,ŋ ɑ ²²,563,Rangoon,TBL,1209,ŋɑ²²,I [first person singular],91,i n t
6259,zaiw1240,ŋo⁵¹,ŋ o ⁵¹,,ŋ o ⁵¹,I-me,ŋ o ⁵¹,563,Atsi,TBL,1209,ŋo⁵¹,I [first person singular],91,i n t
6348,maru1248,ŋɔ³¹,ŋ ɔ ³¹,,ŋ ɔ ³¹,me,ŋ ɔ ³¹,563,Maru,TBL,1209,ŋɔ³¹,I [first person singular],91,i n t
6432,lash1242,ŋo³¹,ŋ o ³¹,,ŋ o ³¹,me,ŋ o ³¹,563,Lashi,TBL,1209,ŋo³¹,I [first person singular],91,i n t
6489,xian1248,ŋɔ⁵⁵,ŋ ɔ ⁵⁵,,ŋ ɔ ⁵⁵,I-me,ŋ ɔ ⁵⁵,563,Xiandao,TBL,1209,ŋɔ⁵⁵,I [first person singular],91,i n t
6549,bela1241,ŋa⁵⁵,ŋ a ⁵⁵,,ŋ a ⁵⁵,I-me,ŋ a ⁵⁵,563,Bola,TBL,1209,ŋa⁵⁵,I [first person singular],91,i n t
6631,long1372,ŋɔ⁵⁵,ŋ ɔ ⁵⁵,,ŋ ɔ ⁵⁵,I-me,ŋ ɔ ⁵⁵,563,Achang_Longchuan,TBL,1209,ŋɔ⁵⁵,I [first person singular],91,i n t
7149,oldb1234,ṅā,ŋ a ²²,,ŋ a ²²,,ŋ a ²²,563,Old_Burmese,,1209,ṅā,I [first person singular],91,i n t
6324,zaiw1240,tʰoʔ⁵⁵mai²¹,tʰ o ʔ ⁵⁵ + m a i ²¹,,tʰ o ʔ ⁵⁵ + m a i ²¹,over on,tʰ o ʔ ⁵⁵ + m a i ²¹,81,Atsi,TBL,1741,tʰoʔ⁵⁵mai²¹,above,3 4,i n c t + i n N t
6414,nucl1310,ɑ⁵³tʰɛʔ,ɑ ⁵³ - + tʰ ɛ ʔ -,,ɑ ⁵³ + tʰ ɛ ʔ -,a-prefix above,ɑ ⁵³ + tʰ ɛ ʔ,498,Rangoon,TBL,1741,ɑ⁵³tʰɛʔ,above,1292 3,n t + i n c
6450,bela1241,a³¹tʰaʔ⁵⁵,a ³¹ - + tʰ a ʔ ⁵⁵,,a ³¹ + tʰ a ʔ ⁵⁵,a-prefix over,a ³¹ + tʰ a ʔ ⁵⁵,498,Bola,TBL,1741,a³¹tʰaʔ⁵⁵,above,1292 3,n t + i n c t
6523,long1372,a³¹lum³¹,a ³¹ + l u m ³¹,,a ³¹ + l u m ³¹,a-prefix round,a ³¹ + l u m ³¹,163,Achang_Longchuan,TBL,1741,a³¹lum³¹,above,1292 2,n t + i n c t
6583,maru1248,tʰɔʔ⁵⁵mɛ³¹,tʰ ɔ ʔ ⁵⁵ + m ɛ - ³¹,,tʰ ɔ ʔ ⁵⁵ + m ɛ - ³¹,above on,tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹,81,Maru,TBL,1741,tʰɔʔ⁵⁵mɛ³¹,above,3 4,i n c t + i n t
7095,oldb1234,a◦thak,- - a + tʰ a k -,,a + tʰ a k,a-prefix above,a + tʰ a k,498,Old_Burmese,,1741,a◦thak,above,1292 3,n + i n c
2,long1372,pʐa⁵⁵pʐa⁵⁵,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,bad concept,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,all all,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,33,Achang_Longchuan,TBL,98,pʐa⁵⁵pʐa⁵⁵,all,980 1362,i m n t + i m n t
9,lash1242,pan³¹ʃɔ̱ʔ⁵⁵,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,bad concept,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,all1 all2,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,567,Lashi,TBL,98,pan³¹ʃɔ̱ʔ⁵⁵,all,6 10,i n c t + i n c t
10,maru1248,pəŋ³¹ʃɔʔ⁵⁵,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,bad concept,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,? ?,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,567,Maru,TBL,98,pəŋ³¹ʃɔʔ⁵⁵,all,6 10,i n c t + i n c t
12,xian1248,chot⁵⁵,cʰ o t ⁵⁵,bad concept,cʰ o t ⁵⁵,all,cʰ o t ⁵⁵,394,Xiandao,TBL,98,chot⁵⁵,all,969,i n c t
13,zaiw1240,lu̱ŋ⁵⁵la̱ŋ⁵⁵,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,bad concept,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,all-1 all-2,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,302,Atsi,TBL,98,lu̱ŋ⁵⁵la̱ŋ⁵⁵,all,979 7,i n c t + i n c t
14,bela1241,a³¹la̱p⁵⁵,a ³¹ + l a̰ p ⁵⁵,bad concept,a ³¹ + l a̰ p ⁵⁵,a-prefix all,a ³¹ + l a̰ p ⁵⁵,363,Bola,TBL,98,a³¹la̱p⁵⁵,all,1 8,n t + i n c t
