Form_ID,Form,Cognateset_ID,Alignment,Doubt,Cognate_detection_method,Cognate_source,Alignment_method,Alignment_source,Segment_slice
6187,ŋ ɑ ²²,91,ŋ ɑ ²²,,expert,Hill2017,LingPy:SCA,,0:1
6259,ŋ o ⁵¹,91,ŋ o ⁵¹,,expert,Hill2017,LingPy:SCA,,0:1
6348,ŋ ɔ ³¹,91,ŋ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6432,ŋ o ³¹,91,ŋ o ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6489,ŋ ɔ ⁵⁵,91,ŋ ɔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6549,ŋ a ⁵⁵,91,ŋ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6631,ŋ ɔ ⁵⁵,91,ŋ ɔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
7149,ŋ a ²²,91,ŋ a ²²,,expert,Hill2017,LingPy:SCA,,0:1
6324,tʰ o ʔ ⁵⁵ + m a i ²¹,3,tʰ o ʔ ⁵⁵ + m a i ²¹,,expert,Hill2017,LingPy:SCA,,0:1
6324,tʰ o ʔ ⁵⁵ + m a i ²¹,4,tʰ o ʔ ⁵⁵ + m a i ²¹,,expert,Hill2017,LingPy:SCA,,1:2
6414,ɑ ⁵³ + tʰ ɛ ʔ,1292,ɑ ⁵³ - + tʰ ɛ ʔ -,,expert,Hill2017,LingPy:SCA,,0:1
6414,ɑ ⁵³ + tʰ ɛ ʔ,3,ɑ ⁵³ - + tʰ ɛ ʔ -,,expert,Hill2017,LingPy:SCA,,1:2
6450,a ³¹ + tʰ a ʔ ⁵⁵,1292,a ³¹ - + tʰ a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6450,a ³¹ + tʰ a ʔ ⁵⁵,3,a ³¹ - + tʰ a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
6523,a ³¹ + l u m ³¹,1292,a ³¹ + l u m ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6523,a ³¹ + l u m ³¹,2,a ³¹ + l u m ³¹,,expert,Hill2017,LingPy:SCA,,1:2
6583,tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹,3,tʰ ɔ ʔ ⁵⁵ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6583,tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹,4,tʰ ɔ ʔ ⁵⁵ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,1:2
7095,a + tʰ a k,1292,- - a + tʰ a k -,,expert,Hill2017,LingPy:SCA,,0:1
7095,a + tʰ a k,3,- - a + tʰ a k -,,expert,Hill2017,LingPy:SCA,,1:2
2,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,980,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
2,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,1362,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
9,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,6,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
9,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,10,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
10,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,6,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
10,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,10,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
12,cʰ o t ⁵⁵,969,cʰ o t ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
13,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,979,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
13,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,7,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
14,a ³¹ + l a̰ p ⁵⁵,1,a ³¹ + l a̰ p ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
14,a ³¹ + l a̰ p ⁵⁵,8,a ³¹ + l a̰ p ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
5656,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,12,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,,expert,Hill2017,LingPy:SCA,,0:1
5656,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,11,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,,expert,Hill2017,LingPy:SCA,,1:2
5656,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,5,m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³,,expert,Hill2017,LingPy:SCA,,2:3
7097,a + k u n,1,a + k u n,,expert,Hill2017,LingPy:SCA,,0:1
7097,a + k u n,1363,a + k u n,,expert,Hill2017,LingPy:SCA,,1:2
129,tɕ a ⁵⁵,1013,tɕ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
131,tʰ e n ²¹,1012,tʰ e n ²¹,,expert,Hill2017,LingPy:SCA,,0:1
132,a ³¹ + k a i ⁵⁵,1011,a ³¹ + k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
132,a ³¹ + k a i ⁵⁵,986,a ³¹ + k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
135,p j ɔː ʔ ³¹,1023,p j ɔː ʔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
136,k ɔ i ³⁵,986,k ɔ i ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
137,n ³¹ + c ɛ ⁵⁵,55,n ³¹ + c ɛ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
137,n ³¹ + c ɛ ⁵⁵,1014,n ³¹ + c ɛ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
5367,sʰ o ⁵⁵,56,sʰ o - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
5368,nʲ ɑ̃ ∼ ⁵³,987,nʲ ɑ̃ ∼ ⁵³,,expert,Hill2017,LingPy:SCA,,0:1
7099,tsʰ ə w ⁵⁵,56,tsʰ ə w ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
